AGS,Ort,2017_AfD_%,2017_CDU_%,2017_LINKE_%,2017_SPD_%,2017_FDP_%,2017_GRÜNE_%,2017_andere_%
14626140,Großschönau,35.9,27.5,10.7,8.5,7.5,2.2,7.9
14626150,Großschweidnitz,44.8,21.7,11.5,6.7,7.7,1.0,6.6
14626160,Hähnichen,34.8,27.4,13.8,9.3,4.3,2.1,8.3
14626170,Hainewalde,37.6,28.1,9.5,6.8,6.5,4.1,7.4
14626180,"Herrnhut, Stadt",29.8,31.5,11.9,9.2,5.2,5.1,7.4
14626190,Hohendubrau,35.4,31.2,12.1,7.8,5.7,2.6,5.2
14626200,Horka,34.6,26.0,13.9,8.5,6.1,2.5,8.3
14626210,"Jonsdorf, Kurort",28.9,30.7,12.6,8.5,8.3,3.3,7.6
14626230,Kodersdorf,36.9,27.8,10.5,7.1,8.2,2.6,6.8
14626240,Königshain,40.6,27.6,9.8,6.4,8.6,3.7,3.4
14626245,Kottmar,35.3,27.2,12.7,7.4,7.7,3.0,6.8
14626250,Krauschwitz i.d. O.L.,37.1,24.3,14.0,11.0,6.0,1.9,5.7
14626260,Kreba-Neudorf,36.9,29.2,12.5,7.3,4.4,1.1,8.6
14626270,Lawalde,44.4,24.5,10.4,6.5,8.1,1.3,4.7
14626280,Leutersdorf,32.8,28.8,13.6,8.4,6.4,2.5,7.6
14626290,"Löbau, Stadt",34.3,25.4,15.1,8.3,7.5,2.3,7.2
14626300,Markersdorf,36.0,29.3,10.4,7.5,8.4,2.2,6.2
14626310,Mittelherwigsdorf,33.4,28.4,11.2,6.3,7.9,3.4,9.4
14626320,Mücka,33.9,26.8,13.7,8.7,8.7,1.2,7.0
14626330,Neißeaue,44.2,21.9,12.0,6.2,5.4,2.7,7.5
14626350,"Neusalza-Spremberg, Stadt",41.8,23.6,10.6,6.8,7.5,2.7,7.1
14626370,"Niesky, Stadt",30.2,28.0,15.6,10.3,6.7,2.7,6.6
14626390,Oderwitz,30.4,27.8,13.8,8.7,8.6,2.9,7.8
14626400,Olbersdorf,26.6,27.0,16.9,10.7,8.3,3.2,7.3
14626410,Oppach,46.0,21.6,9.6,6.3,6.0,3.0,7.5
14626420,"Ostritz, Stadt",28.8,33.9,11.2,8.2,8.1,3.1,6.8
14626430,Oybin,28.7,29.0,16.5,8.8,7.7,2.1,7.1
14626440,Quitzdorf am See,37.8,24.6,14.4,7.7,7.8,1.5,6.2
14626450,"Reichenbach/O.L., Stadt",32.8,26.5,13.9,8.5,7.4,2.7,8.2
14626460,Rietschen,32.6,27.7,11.9,10.9,6.2,2.3,8.4
14626470,Rosenbach,37.9,31.5,8.2,7.5,5.9,2.0,7.0
14626480,"Rothenburg/O.L., Stadt",26.3,28.4,17.9,10.6,7.0,3.0,6.9
14626490,Schleife,36.1,27.4,12.1,9.3,6.1,2.8,6.2
14626500,Schönau-Berzdorf a. d. Eigen,35.8,26.1,13.4,7.4,8.3,1.6,7.4
14626510,Schönbach,46.9,19.6,11.4,6.2,7.5,2.3,6.1
14626520,Schöpstal,36.5,24.9,12.1,7.5,7.7,3.2,8.1
14626530,"Seifhennersdorf, Stadt",34.5,25.2,14.0,8.6,6.1,3.1,8.6
14626560,Trebendorf,36.7,28.0,12.0,11.9,2.8,1.9,6.9
14626570,Vierkirchen,35.3,29.1,10.7,6.9,8.8,3.1,6.2
14626580,Waldhufen,33.1,30.5,12.7,7.1,6.6,3.1,7.0
14626590,Weißkeißel,35.6,26.5,12.7,10.8,4.5,1.5,8.5
14626600,"Weißwasser/O.L., Stadt",27.8,25.5,18.8,13.9,6.0,1.9,6.1
14626610,"Zittau, Stadt",30.8,25.1,15.8,9.8,7.1,3.4,8.1
14628010,"Altenberg, Stadt",38.5,25.5,10.9,7.4,8.7,2.1,7.0
14628020,"Bad Gottleuba-Berggießhübel, Stadt",39.2,25.3,11.1,6.8,7.4,3.5,6.8
14628030,"Bad Schandau, Stadt",37.4,24.1,14.9,6.7,7.0,2.4,7.5
14628040,Bahretal,41.6,25.0,11.2,6.8,6.2,2.6,6.6
14628050,Bannewitz,32.4,26.2,12.0,7.9,11.5,4.1,5.9
14628060,"Dippoldiswalde, Stadt",34.2,26.0,13.2,8.1,8.4,2.9,7.0
14628070,Dohma,43.5,20.9,10.6,6.4,7.6,2.1,8.9
14628080,"Dohna, Stadt",35.9,26.7,11.9,6.3,9.1,3.4,6.7
14628090,Dorfhain,31.9,27.7,13.7,8.8,7.0,2.0,9.0
14628100,Dürrröhrsdorf-Dittersbach,33.0,28.7,12.0,7.8,8.2,2.9,7.4
14628110,"Freital, Stadt",34.9,25.7,12.1,9.0,8.7,3.2,6.5
14628130,"Glashütte, Stadt",37.3,26.9,9.6,7.7,7.9,3.1,7.6
14628140,Gohrisch,41.9,19.5,15.3,7.2,6.6,2.7,6.8
14628150,Hartmannsdorf-Reichenau,40.1,25.9,8.1,7.2,7.6,2.5,8.6
14628160,"Heidenau, Stadt",34.7,24.1,13.9,8.0,8.5,2.5,8.3
14628170,Hermsdorf/Erzgeb.,35.1,27.8,10.8,7.3,10.3,4.3,4.3
14628190,"Hohnstein, Stadt",40.1,26.0,9.9,7.3,6.2,2.2,8.2
14628205,Klingenberg,36.8,26.6,11.2,7.1,8.4,3.2,6.6
14628210,"Königstein/Sächs. Schw., Stadt",33.7,26.4,12.8,8.5,7.8,3.3,7.5
14628220,Kreischa,33.6,27.2,13.3,7.6,9.0,3.4,6.0
14628230,"Liebstadt, Stadt",38.0,26.8,12.7,7.3,6.7,1.7,6.8
14628240,Lohmen,36.5,26.6,12.3,8.6,7.4,2.9,5.7
14628250,Müglitztal,40.4,23.4,12.5,5.1,8.6,2.9,7.1
14628260,"Neustadt i. Sa., Stadt",34.1,27.3,13.6,7.9,8.1,2.1,7.0
14628270,"Pirna, Stadt",34.1,23.8,15.9,8.4,7.4,3.2,7.3
14628300,"Rabenau, Stadt",34.6,30.2,10.1,7.5,9.3,2.2,6.1
14628310,"Rathen, Kurort",36.9,25.5,8.9,5.7,12.1,1.9,8.9
14628320,Rathmannsdorf,43.9,20.4,10.0,10.0,4.6,1.7,9.3
14628330,Reinhardtsdorf-Schöna,39.5,25.3,9.7,5.8,6.7,1.5,11.5
14628340,Rosenthal-Bielatal,38.6,25.7,12.8,6.2,7.2,2.1,7.5
14628360,"Sebnitz, Stadt",38.0,24.1,12.6,6.9,6.7,2.6,9.2
14628370,"Stadt Wehlen, Stadt",40.1,23.6,13.6,5.8,8.7,3.7,4.5
14628380,"Stolpen, Stadt",34.2,27.4,11.9,7.4,9.2,2.4,7.6
14628390,Struppen,40.9,23.6,10.5,6.1,8.6,3.9,6.3
14628400,"Tharandt, Stadt",30.7,25.4,14.6,8.6,8.5,5.4,6.8
14628410,"Wilsdruff, Stadt",36.4,28.0,11.2,6.7,9.1,3.0,5.7
14625010,Arnsdorf,30.3,28.5,11.7,9.0,9.7,4.0,6.9
14625200,"Großröhrsdorf, Stadt",32.8,25.7,13.0,9.3,9.4,3.3,6.5
14625430,Ottendorf-Okrilla,31.1,25.8,12.3,8.3,11.3,4.4,6.8
14625480,"Radeberg, Stadt",28.8,26.0,13.7,10.8,9.4,4.2,7.0
14625600,Wachau,34.4,27.4,12.0,7.2,8.4,3.8,6.7
14522010,Altmittweida,33.0,28.2,14.2,7.6,8.5,2.6,5.8
14522020,"Augustusburg, Stadt",30.6,30.1,14.3,9.4,7.4,2.7,5.6
14522035,Bobritzsch-Hilbersdorf,38.9,26.3,11.3,7.1,7.8,2.7,5.9
14522050,"Brand-Erbisdorf, Stadt",32.3,27.6,15.3,9.8,7.4,2.1,5.6
14522080,"Döbeln, Stadt",28.8,28.3,16.0,10.8,7.4,2.2,6.4
