Direktbeweber in den Wahlkreisen bei der Wahl zum 7. Sächsischen Landtag am 1. September 2019,,,,
28,1,CDU,Christlich Demokratische Union Deutschlands,"Albrecht, Karsten"
28,2,DIE LINKE,DIE LINKE,"Nagel, Juliane"
28,3,SPD,Sozialdemokratische Partei Deutschlands,"Menzel, Lars"
28,4,AfD,Alternative für Deutschland,"Wiesner, Alexander"
28,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Piechotta, Dr. Paula"
28,7,FDP,Freie Demokratische Partei,"Ascherl, Rudolf"
28,8,FREIE WÄHLER,FREIE WÄHLER,"Bohse, Reinhard"
28,11,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz,",
,,,Elitenförderung und basisdemokratische,
,,,Initiative,"Kumbernuß, Thomas"
29,1,CDU,Christlich Demokratische Union Deutschlands,"Nowak, Andreas"
29,2,DIE LINKE,DIE LINKE,"Bednarsky, Dr. Adam"
29,3,SPD,Sozialdemokratische Partei Deutschlands,"Heinke, Waltra"
29,4,AfD,Alternative für Deutschland,"Böhme, Petra"
29,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Čagalj Sejdi, Petra"
29,7,FDP,Freie Demokratische Partei,"Vosberg, Friedrich"
29,8,FREIE WÄHLER,FREIE WÄHLER,"Baier, Monika"
29,12,BüSo,Bürgerrechtsbewegung Solidarität,"Gründler, Birgitta"
,,,Seite 4 von 9,
Direktbeweber in den Wahlkreisen bei der Wahl zum 7. Sächsischen Landtag am 1. September 2019,,,,
Wahl-,,,Wahlvorschlag,
,,,,Name
kreis,Nr.,Kurzbezeichnung,Langbezeichnung,
30,1,CDU,Christlich Demokratische Union Deutschlands,"Weickert, Michael"
30,2,DIE LINKE,DIE LINKE,"Böhme, Marco"
30,3,SPD,Sozialdemokratische Partei Deutschlands,"Rudolph-Kokot, Irena"
30,4,AfD,Alternative für Deutschland,"Pasemann, Falk-Gert"
30,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Maicher, Dr. Claudia"
30,7,FDP,Freie Demokratische Partei,"Münch, Judith"
30,8,FREIE WÄHLER,FREIE WÄHLER,"Schröder, Carola"
30,14,Blaue #TeamPetry,Die blaue Partei,"Fechner, Frank"
31,1,CDU,Christlich Demokratische Union Deutschlands,"Clemen, Robert"
31,2,DIE LINKE,DIE LINKE,"Ehms, Beate"
31,3,SPD,Sozialdemokratische Partei Deutschlands,"Panter, Dirk"
31,4,AfD,Alternative für Deutschland,"Kühne, Jörg Steffen"
31,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Melcher, Christin"
31,7,FDP,Freie Demokratische Partei,"Pfüller, Michael"
31,8,FREIE WÄHLER,FREIE WÄHLER,"Soudah, André"
31,11,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz,",
,,,Elitenförderung und basisdemokratische,
,,,Initiative,"Nagy, Michael"
32,1,CDU,Christlich Demokratische Union Deutschlands,"Rost, Wolf-Dietrich"
32,2,DIE LINKE,DIE LINKE,"Götze, Marco"
32,3,SPD,Sozialdemokratische Partei Deutschlands,"Mann, Holger"
32,4,AfD,Alternative für Deutschland,"Keller, Tobias Martin"
32,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Spenn, Johannes"
32,7,FDP,Freie Demokratische Partei,"Franke, Kristin"
32,8,FREIE WÄHLER,FREIE WÄHLER,"Weidinger, Thomas"
32,12,BüSo,Bürgerrechtsbewegung Solidarität,"Fellauer, Madeleine"
33,1,CDU,Christlich Demokratische Union Deutschlands,"Gasse, Holger"
33,2,DIE LINKE,DIE LINKE,"Sodann, Franz"
33,3,SPD,Sozialdemokratische Partei Deutschlands,"Schmidt, Michael"
33,4,AfD,Alternative für Deutschland,"Hentschel, Holger"
33,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Gerber, Dr. Daniel"
33,7,FDP,Freie Demokratische Partei,"Kraus, Christof"
33,8,FREIE WÄHLER,FREIE WÄHLER,"Baier, Robert"
33,11,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz,",
,,,Elitenförderung und basisdemokratische,
,,,Initiative,"Gonsior, Julius"
33,12,BüSo,Bürgerrechtsbewegung Solidarität,"Scharf, Jürgen"
33,26,WIR sind LEIPZIGER,WIR sind LEIPZIGER,"Kohl, Ralf Detlef"
34,1,CDU,Christlich Demokratische Union Deutschlands,"Kiesewetter, Jörg"
34,2,DIE LINKE,DIE LINKE,"Stoye, Christian"
34,3,SPD,Sozialdemokratische Partei Deutschlands,"Holke, Martin"
34,4,AfD,Alternative für Deutschland,"Ulbrich, Roland Walter Hermann"
34,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Schneider, Anna"
34,7,FDP,Freie Demokratische Partei,"Mainz, Detlef Kaspar"
34,8,FREIE WÄHLER,FREIE WÄHLER,"Corsa, Constantin"
35,1,CDU,Christlich Demokratische Union Deutschlands,"Gemkow, Sebastian"
35,2,DIE LINKE,DIE LINKE,"Neuhaus-Wartenberg, Luise"
35,3,SPD,Sozialdemokratische Partei Deutschlands,"Teuber, Mathias"
35,4,AfD,Alternative für Deutschland,"Bochmann, René"
35,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Kunze, Enrico"
35,7,FDP,Freie Demokratische Partei,"Schieritz, Stefan"
35,8,FREIE WÄHLER,FREIE WÄHLER,"Rabe, Birgit"
,,,Seite 5 von 9,
Direktbeweber in den Wahlkreisen bei der Wahl zum 7. Sächsischen Landtag am 1. September 2019,,,,
Wahl-,,,Wahlvorschlag,
,,,,Name
kreis,Nr.,Kurzbezeichnung,Langbezeichnung,
36,1,CDU,Christlich Demokratische Union Deutschlands,"Merbitz, Bernd"
36,2,DIE LINKE,DIE LINKE,"Bagusat-Sehrt, Michael"
36,3,SPD,Sozialdemokratische Partei Deutschlands,"Winkler, Volkmar"
36,4,AfD,Alternative für Deutschland,"Petzold, Gudrun"
36,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Scheller, Johanna Barbara"
36,7,FDP,Freie Demokratische Partei,"Waitz, Christoph"
36,8,FREIE WÄHLER,FREIE WÄHLER,"Wendt, Denise"
37,1,CDU,Christlich Demokratische Union Deutschlands,"Mackenroth, Geert"
37,2,DIE LINKE,DIE LINKE,"Knebel, Uta"
37,3,SPD,Sozialdemokratische Partei Deutschlands,"Drechsler, Amrei"
37,4,AfD,Alternative für Deutschland,"Hütter, Carsten"
37,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Meier, Katja"
37,7,FDP,Freie Demokratische Partei,"Borner, Sven"
37,8,FREIE WÄHLER,FREIE WÄHLER,"Wamser, Dieter"
38,1,CDU,Christlich Demokratische Union Deutschlands,"Fischer, Sebastian"
38,2,DIE LINKE,DIE LINKE,"Richter, Erik Christopher"
38,3,SPD,Sozialdemokratische Partei Deutschlands,"Schittko, Katja"
38,4,AfD,Alternative für Deutschland,"Beger, Mario"
38,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Berndt, Thomas"
38,7,FDP,Freie Demokratische Partei,"Pursche, Berthold"
38,8,FREIE WÄHLER,FREIE WÄHLER,"Langerfeld, André"
39,1,CDU,Christlich Demokratische Union Deutschlands,"Kuge, Daniela"
39,2,DIE LINKE,DIE LINKE,"Hellmann, Tilo"
39,3,SPD,Sozialdemokratische Partei Deutschlands,"Richter, Frank"
39,4,AfD,Alternative für Deutschland,"Kirste, Thomas"
39,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Wengenmayr, Martin"
39,7,FDP,Freie Demokratische Partei,"Bahrmann, Martin"
39,8,FREIE WÄHLER,FREIE WÄHLER,"Reimann-Bernhardt, Dr. Brit"
40,1,CDU,Christlich Demokratische Union Deutschlands,"Rößler, Dr. Matthias"
40,2,DIE LINKE,DIE LINKE,"Borowitzki, Daniel Falco"
40,3,SPD,Sozialdemokratische Partei Deutschlands,"Dulig, Martin"
40,4,AfD,Alternative für Deutschland,"Hein, René"
40,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Plessing, Dr. Tobias"
40,7,FDP,Freie Demokratische Partei,"Wolf, Alexander"
40,8,FREIE WÄHLER,FREIE WÄHLER,"Kroemer, Bernhard"
40,12,BüSo,Bürgerrechtsbewegung Solidarität,"Born, Thomas"
41,1,CDU,Christlich Demokratische Union Deutschlands,"Hartmann, Christian"
41,2,DIE LINKE,DIE LINKE,"Buddeberg, Sarah"
41,3,SPD,Sozialdemokratische Partei Deutschlands,"Chaimite, Emiliano"
41,4,AfD,Alternative für Deutschland,"Wilke, Karin"
41,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Lippmann, Valentin"
41,7,FDP,Freie Demokratische Partei,"Günther, Torsten"
41,11,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz,",
,,,Elitenförderung und basisdemokratische,
,,,Initiative,"Hinze, Sören"
42,1,CDU,Christlich Demokratische Union Deutschlands,"Piwarz, Christian"
42,2,DIE LINKE,DIE LINKE,"Fehst, Franziska"
42,3,SPD,Sozialdemokratische Partei Deutschlands,"Sturm, Kristin"
42,4,AfD,Alternative für Deutschland,"Wendt, André"
42,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Mühle, Andrea"
42,7,FDP,Freie Demokratische Partei,"Mogwitz, Andreas"
,,,Seite 6 von 9,
Direktbeweber in den Wahlkreisen bei der Wahl zum 7. Sächsischen Landtag am 1. September 2019,,,,
Wahl-,,,Wahlvorschlag,
,,,,Name
kreis,Nr.,Kurzbezeichnung,Langbezeichnung,
43,1,CDU,Christlich Demokratische Union Deutschlands,"Flemming, Ingo"
43,2,DIE LINKE,DIE LINKE,"Holowenko, Anne"
43,3,SPD,Sozialdemokratische Partei Deutschlands,"Pallas, Albrecht"
43,4,AfD,Alternative für Deutschland,"Ladzinski, Thomas"
43,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Mehn, Henriette"
43,7,FDP,Freie Demokratische Partei,"Kunz, Thomas"
43,11,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz,",
,,,Elitenförderung und basisdemokratische,
,,,Initiative,"Hencker, Philipp"
44,1,CDU,Christlich Demokratische Union Deutschlands,"Modschiedler, Martin"
44,2,DIE LINKE,DIE LINKE,"Wirtz, Tilo"
44,3,SPD,Sozialdemokratische Partei Deutschlands,"Kreß, Christian"
44,4,AfD,Alternative für Deutschland,"Jost, Martina"
44,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Herrmann, Dr. Dietrich"
44,7,FDP,Freie Demokratische Partei,"Görnitz, Steve"
44,12,BüSo,Bürgerrechtsbewegung Solidarität,"Frömmel, Holger"
45,1,CDU,Christlich Demokratische Union Deutschlands,"Thiele, Gunter"
45,2,DIE LINKE,DIE LINKE,"Schollbach, André"
45,3,SPD,Sozialdemokratische Partei Deutschlands,"Friedel, Sabine"
45,4,AfD,Alternative für Deutschland,"Keiler, Dr. Joachim"
45,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Löser, Thomas"
45,7,FDP,Freie Demokratische Partei,"Streller, Lydia"
45,11,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz,",
,,,Elitenförderung und basisdemokratische,
,,,Initiative,"Brock, Charlotte"
45,12,BüSo,Bürgerrechtsbewegung Solidarität,"Gründler, Michael"
46,1,CDU,Christlich Demokratische Union Deutschlands,"Rohwer, Lars"
46,2,DIE LINKE,DIE LINKE,"Kunkel, Jenny"
46,3,SPD,Sozialdemokratische Partei Deutschlands,"Koch, Sophie"
46,4,AfD,Alternative für Deutschland,"Harlaß, Andreas"
46,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Hammecke, Lucie"
46,7,FDP,Freie Demokratische Partei,"Hase, Holger"
47,1,CDU,Christlich Demokratische Union Deutschlands,"Klepsch, Barbara"
47,2,DIE LINKE,DIE LINKE,"Gensichen, Uta"
47,3,SPD,Sozialdemokratische Partei Deutschlands,"Drews, Vincent"
47,4,AfD,Alternative für Deutschland,"Zickler, Hans-Jürgen"
47,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Krause, Susanne"
47,7,FDP,Freie Demokratische Partei,"Schubert, Stefan"
47,11,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz,",
,,,Elitenförderung und basisdemokratische,
,,,Initiative,"Küttner, Robert"
