Alle Wahllokale mit Wahlgebäuden (Landtagswahl 2019),,,,,,
Gebiet,Wahlbezirk,Wahlkreis,Einrichtung,"PLZ, Ort",Straße,Barrierefreiheit
Klotzsche ,31800,41,"Kita ""Theo s"" Integrations‐Kita","01109, Dresden",Theodor‐Fontane‐Str. 11,Barrierefrei
Klotzsche ,32100,41,85. Grundschule,"01109, Dresden",Radeburger Str. 168,Nicht barrierefrei
Klotzsche ,32201,41,85. Grundschule,"01109, Dresden",Radeburger Str. 168,Nicht barrierefrei
Klotzsche ,32202,41,85. Grundschule,"01109, Dresden",Radeburger Str. 168,Nicht barrierefrei
Klotzsche ,32300,41,Festspielhaus Hellerau,"01109, Dresden",Karl‐Liebknecht‐Str. 56,Barrierefrei
Klotzsche ,32400,41,Festspielhaus Hellerau.,"01109, Dresden",Karl‐Liebknecht‐Str. 56,Nicht barrierefrei
Weixdorf ,35110,41,Bibliothek Weixdorf,"01108, Dresden",Hohenbuschmarkt 1,Barrierefrei
Weixdorf ,35310,41,Grundschule Weixdorf,"01108, Dresden",Am Zollhaus 1,Barrierefrei
Weixdorf ,35410,41,Jugendzentrum Weixdorf e. V.,"01108, Dresden",Pastor‐Roller‐Str. 14 a,Barrierefrei
Weixdorf ,35510,41,Oberschule Weixdorf,"01108, Dresden",Alte Dresdner Str. 22,Barrierefrei
Gebiet,Wahlbezirk,Wahlkreis,Einrichtung,"PLZ, Ort",Straße,Barrierefreiheit
Weixdorf ,35610,41,Gemeindehaus Marsdorf,"01108, Dresden",Marsdorfer Hauptstr. 28,Nicht barrierefrei
Langebrück ,36110,41,Bürgerhaus,"01465, Langebrück",Hauptstr. 4,Barrierefrei
Langebrück ,36210,41,Friedrich‐Wolf‐Grundschule Langebrück,"01465, Langebrück",Friedrich‐Wolf‐Straße 7,Barrierefrei
Langebrück ,36310,41,Friedrich‐Wolf‐Grundschule Langebrück,"01465, Langebrück",Friedrich‐Wolf‐Straße 7,Barrierefrei
Schönborn ,36410,41,Bürgerhaus Schönborn,"01465, Schönborn",Seifersdorfer Str. 6,Nicht barrierefrei
Loschwitz ,41100,42,Stadtbezirksamt Loschwitz,"01326, Dresden",Grundstr. 3,Barrierefrei
Loschwitz ,41200,42,62. Grundschule,"01326, Dresden",Pillnitzer Landstr. 38,Barrierefrei
Loschwitz ,41300,42,Kindertagesstätte Kottmarstraße,"01326, Dresden",Kottmarstraße 1,Barrierefrei
Loschwitz ,41400,42,Elbhangtreff Niederpoyritz,"01326, Dresden",Plantagenweg 3,Nicht barrierefrei
Loschwitz ,42100,42,59. Grundschule/Turnhalle,"01324, Dresden",Kurparkstr. 12,Barrierefrei
Loschwitz ,42200,42,59. Grundschule/Turnhalle,"01324, Dresden",Kurparkstr. 12,Barrierefrei
Loschwitz ,42400,42,Cultus gGmbH Wohnanlage Bühlau,"01324, Dresden",Bautzner Landstr. 108,Barrierefrei
Loschwitz ,42500,42,Gymnasium Bühlau,"01324, Dresden",Quohrener Str. 12,Barrierefrei
Loschwitz ,42600,42,Gymnasium Bühlau,"01324, Dresden",Quohrener Str. 12,Barrierefrei
Loschwitz ,42700,42,Gymnasium Bühlau,"01324, Dresden",Quohrener Str. 12,Barrierefrei
Loschwitz ,42800,42,"61. Grundschule ""Heinrich Schütz""","01326, Dresden",Hutbergstraße 2,Barrierefrei
Loschwitz ,42900,42,"Mietwirtschaft ""Zur Eule""","01324, Dresden",Grundstr. 100,Barrierefrei
Loschwitz ,43100,42,Elbhangtreff Niederpoyritz,"01326, Dresden",Plantagenweg 3,Nicht barrierefrei
Loschwitz ,43200,42,Cultus gGmbH,"01326, Dresden",Maille‐Bahn 2,Barrierefrei 
Loschwitz ,43400,42,HTW Pillnitz,"01326, Dresden",Pillnitzer Platz 1,Barrierefrei
Schönfeld‐,45110,41,Sport‐Vereinshaus der SG Weißig,"01328, Dresden",Heinrich‐Lange‐Str. 37,Barrierefrei
Weißig ,,,,,,
Schönfeld‐,45210,41,Örtliche Verwaltungsstelle,"01328, Dresden",Bautzner Landstr. 291,Barrierefrei
Weißig ,,,,,,
Schönfeld‐,45310,41,Örtliche Verwaltungsstelle,"01328, Dresden",Bautzner Landstr. 291,Barrierefrei
Gebiet,Wahlbezirk,Wahlkreis,Einrichtung,"PLZ, Ort",Straße,Barrierefreiheit
Weißig ,,,,,,
Schönfeld‐,45410,41,Hutbergschule Weißig,"01328, Dresden",Hauptstr. 14,Barrierefrei
Weißig ,,,,,,
Schönfeld‐,45510,41,Hutbergschule Weißig,"01328, Dresden",Hauptstr. 14,Barrierefrei
Weißig ,,,,,,
Schönfeld‐,46110,41,Freizeit‐Treff Gönnsdorf,"01328, Dresden",Schönfelder Landstr. 27,Barrierefrei
Weißig ,,,,,,
Schönfeld‐,46210,41,Bürgerhaus Pappritz,"01328, Dresden",Schulstr. 8,Nicht barrierefrei
Weißig ,,,,,,
