;WK-Nr;WK-Name;AGS;Wahlberechtigte;Wähler;gültige_1;CDU_1;DIE LINKE_1;SPD_1;FDP_1;GRÜNE_1;NPD_1;PIRATEN_1;BüSo_1;DSU_1;AfD_1;FREIE WÄHLER_1;Die PARTEI_1;Freie Bürger Leipzig_1;Konrad Skatula_1;Schaar_1;WAGNER_1;WV MFU_1;gültige_2;CDU_2;DIE LINKE_2;SPD_2;FDP_2;GRÜNE_2;NPD_2;Tierschutzpartei_2;PIRATEN_2;BüSo_2;DSU_2;AfD_2;pro Deutschland_2;FREIE WÄHLER_2;Die PARTEI_2
87;14;Erzgebirge 2;14521170;6566;2989;2960;1391;332;640;52;76;144;18.0;;;258.0;49.0;;;;;;;2955;1412;416;380;82;93;166;27;14;2;4;295;6;47;11
88;14;Erzgebirge 2;14521530;12401;6026;5925;2479;1299;497;191;121;510;34.0;;;578.0;216.0;;;;;;;5941;2350;1211;574;196;129;596;58;35;11;1;612;9;138;21
89;14;Erzgebirge 2;14521540;4041;1938;1907;976;283;306;50;40;72;7.0;;;154.0;19.0;;;;;;;1904;858;293;288;90;56;85;13;5;0;4;186;2;22;2
90;14;Erzgebirge 2;14521600;2872;1776;1725;1000;206;187;67;20;64;12.0;;;141.0;28.0;;;;;;;1722;904;217;172;89;34;80;9;11;1;2;175;1;24;3
91;14;Erzgebirge 2;14521700;4660;2263;2237;1326;280;166;43;55;93;13.0;;;226.0;35.0;;;;;;;2238;1179;293;189;65;58;106;18;12;1;0;275;14;25;3
92;15;Erzgebirge 3;14521110;4774;2299;2260;981;362;364;61;99;77;17.0;;;248.0;51.0;;;;;;;2266;1067;380;254;67;52;99;13;11;1;1;270;4;44;3
93;15;Erzgebirge 3;14521180;2525;1373;1344;585;226;138;51;44;87;5.0;;;175.0;33.0;;;;;;;1354;568;225;148;48;42;94;15;5;0;4;169;1;32;3
94;15;Erzgebirge 3;14521260;5127;2455;2418;1173;439;245;61;83;99;23.0;;;260.0;35.0;;;;;;;2430;1172;439;226;83;54;108;22;17;0;2;259;4;38;6
95;15;Erzgebirge 3;14521320;3710;1500;1465;524;367;264;52;40;55;12.0;;;142.0;9.0;;;;;;;1473;573;359;222;36;37;70;15;5;0;4;143;1;6;2
96;15;Erzgebirge 3;14521355;7665;3719;3653;1639;694;322;126;122;213;14.0;;;395.0;128.0;;;;;;;3674;1603;716;294;141;95;230;35;14;3;2;403;4;116;18
97;15;Erzgebirge 3;14521370;7576;3571;3510;1528;743;376;101;135;182;33.0;;;363.0;49.0;;;;;;;3520;1467;733;371;115;115;222;41;51;8;6;335;5;40;11
98;15;Erzgebirge 3;14521500;4477;2254;2208;969;438;220;68;88;124;21.0;;;243.0;37.0;;;;;;;2213;970;404;183;90;71;139;20;17;2;3;263;3;42;6
99;15;Erzgebirge 3;14521550;15061;7077;6944;2641;1664;703;253;323;432;50.0;;;791.0;87.0;;;;;;;6969;2825;1502;617;236;227;476;56;55;3;7;842;10;88;25
100;15;Erzgebirge 3;14521710;10519;5749;5643;2646;975;576;152;192;280;45.0;;;671.0;106.0;;;;;;;5665;2586;957;587;168;167;323;52;33;6;5;663;10;86;22
101;16;Erzgebirge 4;14521020;17490;8106;7940;2957;2142;758;333;297;607;122.0;;;;724.0;;;;;;;8003;3225;1604;799;224;269;502;77;58;8;8;912;31;255;31
102;16;Erzgebirge 4;14521060;2038;1050;1030;494;220;116;28;27;58;24.0;;;;63.0;;;;;;;1033;457;190;118;33;20;52;4;12;1;1;124;4;16;1
103;16;Erzgebirge 4;14521130;3539;1964;1901;935;324;179;82;74;113;34.0;;;;160.0;;;;;;;1908;909;271;193;68;57;72;20;18;1;2;219;3;67;8
104;16;Erzgebirge 4;14521160;4114;2177;2125;965;414;249;84;45;200;36.0;;;;132.0;;;;;;;2139;959;351;205;78;44;145;28;11;1;1;254;4;53;5
105;16;Erzgebirge 4;14521200;3670;2046;1990;997;381;178;64;71;202;29.0;;;;68.0;;;;;;;2001;942;322;186;61;49;161;21;14;2;2;208;8;22;3
106;16;Erzgebirge 4;14521210;3120;1727;1684;756;429;119;71;43;142;18.0;;;;106.0;;;;;;;1700;728;372;117;68;35;107;18;7;3;1;197;3;41;3
107;16;Erzgebirge 4;14521330;2423;1278;1245;604;243;99;49;48;111;20.0;;;;71.0;;;;;;;1254;556;225;100;31;36;103;12;10;0;1;140;3;36;1
