;A
240;"33;12;BüSo;Bürgerrechtsbewegung;Solidarität;Scharf,;Jürgen"
241;"33;26;WIR;sind;LEIPZIGER;WIR;sind;LEIPZIGER;Kohl,;Ralf;Detlef"
242;"34;1;CDU;Christlich;Demokratische;Union;Deutschlands;Kiesewetter,;Jörg"
243;"34;2;DIE;LINKE;DIE;LINKE;Stoye,;Christian"
244;"34;3;SPD;Sozialdemokratische;Partei;Deutschlands;Holke,;Martin"
245;"34;4;AfD;Alternative;für;Deutschland;Ulbrich,;Roland;Walter;Hermann"
246;"34;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Schneider,;Anna"
247;"34;7;FDP;Freie;Demokratische;Partei;Mainz,;Detlef;Kaspar"
248;"34;8;FREIE;WÄHLER;FREIE;WÄHLER;Corsa,;Constantin"
249;"35;1;CDU;Christlich;Demokratische;Union;Deutschlands;Gemkow,;Sebastian"
250;"35;2;DIE;LINKE;DIE;LINKE;Neuhaus-Wartenberg,;Luise"
251;"35;3;SPD;Sozialdemokratische;Partei;Deutschlands;Teuber,;Mathias"
252;"35;4;AfD;Alternative;für;Deutschland;Bochmann,;René"
253;"35;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Kunze,;Enrico"
254;"35;7;FDP;Freie;Demokratische;Partei;Schieritz,;Stefan"
255;"35;8;FREIE;WÄHLER;FREIE;WÄHLER;Rabe,;Birgit"
256;"36;1;CDU;Christlich;Demokratische;Union;Deutschlands;Merbitz,;Bernd"
257;"36;2;DIE;LINKE;DIE;LINKE;Bagusat-Sehrt,;Michael"
258;"36;3;SPD;Sozialdemokratische;Partei;Deutschlands;Winkler,;Volkmar"
259;"36;4;AfD;Alternative;für;Deutschland;Petzold,;Gudrun"
260;"36;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Scheller,;Johanna;Barbara"
261;"36;7;FDP;Freie;Demokratische;Partei;Waitz,;Christoph"
262;"36;8;FREIE;WÄHLER;FREIE;WÄHLER;Wendt,;Denise"
263;"37;1;CDU;Christlich;Demokratische;Union;Deutschlands;Mackenroth,;Geert"
264;"37;2;DIE;LINKE;DIE;LINKE;Knebel,;Uta"
265;"37;3;SPD;Sozialdemokratische;Partei;Deutschlands;Drechsler,;Amrei"
266;"37;4;AfD;Alternative;für;Deutschland;Hütter,;Carsten"
267;"37;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Meier,;Katja"
268;"37;7;FDP;Freie;Demokratische;Partei;Borner,;Sven"
269;"37;8;FREIE;WÄHLER;FREIE;WÄHLER;Wamser,;Dieter"
270;"38;1;CDU;Christlich;Demokratische;Union;Deutschlands;Fischer,;Sebastian"
271;"38;2;DIE;LINKE;DIE;LINKE;Richter,;Erik;Christopher"
272;"38;3;SPD;Sozialdemokratische;Partei;Deutschlands;Schittko,;Katja"
273;"38;4;AfD;Alternative;für;Deutschland;Beger,;Mario"
274;"38;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Berndt,;Thomas"
275;"38;7;FDP;Freie;Demokratische;Partei;Pursche,;Berthold"
276;"38;8;FREIE;WÄHLER;FREIE;WÄHLER;Langerfeld,;André"
277;"39;1;CDU;Christlich;Demokratische;Union;Deutschlands;Kuge,;Daniela"
278;"39;2;DIE;LINKE;DIE;LINKE;Hellmann,;Tilo"
279;"39;3;SPD;Sozialdemokratische;Partei;Deutschlands;Richter,;Frank"
280;"39;4;AfD;Alternative;für;Deutschland;Kirste,;Thomas"
281;"39;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Wengenmayr,;Martin"
282;"39;7;FDP;Freie;Demokratische;Partei;Bahrmann,;Martin"
283;"39;8;FREIE;WÄHLER;FREIE;WÄHLER;Reimann-Bernhardt,;Dr.;Brit"
284;"40;1;CDU;Christlich;Demokratische;Union;Deutschlands;Rößler,;Dr.;Matthias"
285;"40;2;DIE;LINKE;DIE;LINKE;Borowitzki,;Daniel;Falco"
286;"40;3;SPD;Sozialdemokratische;Partei;Deutschlands;Dulig,;Martin"
287;"40;4;AfD;Alternative;für;Deutschland;Hein,;René"
