;AGS;Wahlberechtigte_EW2019;Wähler_EW2019;gültige_EW2019;CDU_EW2019;DIE LINKE_EW2019;SPD_EW2019;AfD_EW2019;GRÜNE_EW2019;FDP_EW2019;FREIE WÄHLER_EW2019;Wahlberechtigte_BW2017;Wähler_BW2017;gültige_2_BW2017;CDU_2_BW2017;DIE LINKE_2_BW2017;SPD_2_BW2017;AfD_2_BW2017;GRÜNE_2_BW2017;FDP_2_BW2017;FREIE WÄHLER_2_BW2017;WK-Nr_LW2014;WK-Name_LW2014;Wahlberechtigte_LW2014;Wähler_LW2014;gültige_1_LW2014;CDU_1_LW2014;DIE LINKE_1_LW2014;SPD_1_LW2014;FDP_1_LW2014;GRÜNE_1_LW2014;NPD_1_LW2014;PIRATEN_1_LW2014;BüSo_1_LW2014;DSU_1_LW2014;AfD_1_LW2014;FREIE WÄHLER_1_LW2014;Die PARTEI_1_LW2014;Freie Bürger Leipzig_1_LW2014;Konrad Skatula_1_LW2014;Schaar_1_LW2014;WAGNER_1_LW2014;WV MFU_1_LW2014;gültige_2_LW2014;CDU_2_LW2014;DIE LINKE_2_LW2014;SPD_2_LW2014;FDP_2_LW2014;GRÜNE_2_LW2014;NPD_2_LW2014;Tierschutzpartei_2_LW2014;PIRATEN_2_LW2014;BüSo_2_LW2014;DSU_2_LW2014;AfD_2_LW2014;pro Deutschland_2_LW2014;FREIE WÄHLER_2_LW2014;Die PARTEI_2_LW2014
260;14626250;2881;1929;1881;420;184;163;704;84;78;46;2908;2259;2237;543;314;246;829;43;135;27;57;Görlitz 1;3026;1420;1402;572;274;215;23;24;70;3;0;0;178;43;0;0;0;0;0;0;1402;545;258;154;44;34;74;11;5;1;2;230;0;40;4
261;14626260;744;483;472;131;43;25;163;13;15;21;745;554;545;159;68;40;201;6;24;9;57;Görlitz 1;782;363;355;139;63;35;7;10;38;4;0;0;46;13;0;0;0;0;0;0;354;134;62;30;9;8;36;3;4;1;0;56;1;8;2
262;14626270;1544;924;905;234;70;34;369;31;35;29;1580;1053;1043;256;108;68;463;14;85;13;59;Görlitz 3;1622;864;844;360;142;55;47;32;61;5;0;0;142;0;0;0;0;0;0;0;854;375;121;62;43;16;61;6;2;2;3;140;2;19;2
263;14626280;2959;1937;1886;515;184;120;576;95;52;108;2996;1920;1885;542;256;158;618;47;121;27;60;Görlitz 4;3152;1505;1468;686;246;121;38;55;83;15;0;0;176;48;0;0;0;0;0;0;1476;656;245;130;45;48;89;10;9;1;4;199;5;30;5
264;14626290;12240;7624;7445;1738;926;436;2511;342;302;218;12533;9463;9304;2364;1402;771;3192;211;695;161;59;Görlitz 3;13193;6574;6405;2449;1477;552;328;252;364;86;0;0;897;0;0;0;0;0;0;0;6447;2444;1354;583;282;151;400;50;59;14;8;861;8;210;23
265;14626300;3165;2440;2376;691;175;113;786;140;116;54;3217;2250;2214;648;230;166;797;48;187;23;58;Görlitz 2;3257;1858;1808;778;283;140;128;116;92;18;0;0;253;0;0;0;0;0;0;0;1820;820;277;161;76;71;99;16;14;4;5;238;5;28;6
266;14626310;3058;2143;2068;583;166;97;583;151;85;121;3069;2045;2015;572;226;126;674;68;160;64;60;Görlitz 4;3117;1560;1525;689;207;106;43;78;74;16;0;0;198;114;0;0;0;0;0;0;1534;640;218;137;47;69;95;17;15;3;3;217;2;68;3
267;14626320;827;524;508;121;55;34;166;16;32;25;836;580;575;154;79;50;195;7;50;10;57;Görlitz 1;867;380;376;151;73;30;10;6;26;3;0;0;68;9;0;0;0;0;0;0;374;152;60;24;19;11;32;5;2;2;0;64;1;2;0
268;14626330;1407;881;864;180;66;47;400;41;20;17;1422;981;963;211;116;60;426;26;52;8;57;Görlitz 1;1442;673;657;225;135;60;24;25;54;14;0;0;104;16;0;0;0;0;0;0;661;242;117;58;33;20;65;8;6;3;0;99;0;9;1
269;14626350;2788;2304;2261;513;157;97;894;130;98;113;2840;2677;2641;622;279;180;1105;71;197;53;59;Görlitz 3;2898;1771;1739;717;243;138;96;104;103;22;0;0;316;0;0;0;0;0;0;0;1751;691;241;145;77;68;102;23;13;8;4;298;6;71;4
