field_1;Wahlbezirk;Wahlkreis;Wahlberechtigte;Wähler;gültige_1;CDU_1;DIE LINKE_1;SPD_1;AfD_1;GRÜNE_1;FDP_1;Die PARTEI_1;BüSo_1;gültige_2;CDU_2;DIE LINKE_2;SPD_2;AfD_2;GRÜNE_2;NPD_2;FDP_2;FREIE WÄHLER_2;Tierschutzpartei_2;PIRATEN_2 Deutschland;Die PARTEI_2;BüSo_2;ADPM_2;Blaue #TeamPetry_2;KPD_2;ÖDP_2;Die Humanisten_2;PDV_2;Gesundheitsforschung_2
"162";"52600";"44.0";"996";"530";"528";"161";"52";"39";"96";"155";"21";;"4.0";"529";"144";"43";"56";"83";"131";"0";"33";"14";"2";"2";"11";"0";"0";"0";"0";"6";"2";"0";"2"
"163";"52701";"44.0";"1036";"481";"472";"161";"60";"49";"84";"90";"23";;"5.0";"476";"144";"52";"48";"76";"90";"1";"33";"5";"7";"2";"5";"0";"1";"3";"0";"1";"1";"1";"6"
"164";"52702";"44.0";"1407";"622";"615";"175";"72";"79";"137";"103";"37";;"12.0";"615";"155";"63";"63";"135";"95";"0";"43";"19";"10";"2";"16";"4";"4";"0";"0";"2";"3";"0";"1"
"165";"53100";"45.0";"1073";"558";"554";"170";"82";"45";"84";"130";"31";"12.0";"0.0";"557";"186";"63";"54";"81";"115";"1";"33";"9";"2";"1";"5";"0";"0";"0";"0";"1";"4";"1";"1"
"166";"53200";"45.0";"944";"395";"394";"80";"83";"25";"75";"93";"19";"17.0";"2.0";"393";"83";"58";"40";"67";"88";"1";"20";"7";"5";"2";"13";"0";"1";"0";"1";"3";"3";"0";"1"
"167";"53300";"45.0";"1770";"597";"587";"130";"118";"37";"162";"94";"33";"11.0";"2.0";"590";"136";"96";"32";"159";"86";"3";"41";"11";"3";"2";"6";"5";"2";"0";"0";"1";"1";"1";"5"
"168";"53400";"45.0";"1368";"612";"605";"186";"107";"44";"161";"61";"30";"12.0";"4.0";"604";"181";"83";"65";"142";"52";"1";"37";"22";"7";"3";"3";"0";"0";"0";"0";"1";"2";"1";"4"
"169";"53600";"45.0";"1585";"613";"604";"205";"51";"47";"152";"106";"26";"10.0";"7.0";"607";"192";"48";"55";"134";"82";"2";"45";"19";"8";"5";"4";"2";"0";"1";"0";"5";"1";"2";"2"
"170";"53700";"45.0";"1175";"470";"463";"119";"63";"24";"130";"78";"21";"24.0";"4.0";"464";"107";"44";"32";"115";"74";"2";"21";"18";"9";"6";"20";"1";"0";"1";"0";"9";"1";"1";"3"
"171";"53800";"45.0";"1224";"550";"540";"165";"82";"37";"125";"72";"31";"21.0";"7.0";"541";"156";"59";"37";"106";"72";"1";"39";"23";"5";"2";"22";"2";"1";"4";"1";"2";"6";"0";"3"
"172";"54100";"44.0";"1729";"695";"685";"215";"95";"76";"131";"125";"30";;"13.0";"687";"193";"63";"80";"123";"129";"0";"47";"16";"4";"4";"14";"4";"0";"2";"0";"1";"3";"1";"3"
